"tipo","ano","estado","municipio","localidad","solicitudes_atendidas","solicitudes_recibidas"
"GASOLINA",2014,"BAJA CALIFORNIA","ENSENADA","3 PARCELA",1,1
"GASOLINA",2014,"BAJA CALIFORNIA","ENSENADA","BAHIA DE LOS ANGELES",1,1
"GASOLINA",2014,"BAJA CALIFORNIA","ENSENADA","CORONEL ESTEBAN CANTU",7,7
"GASOLINA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RUBEN JARAMILLO",7,7
"GASOLINA",2014,"BAJA CALIFORNIA","ENSENADA","EL SAUZAL",1,1
"GASOLINA",2014,"BAJA CALIFORNIA","ENSENADA","ENSENADA",17,17
"GASOLINA",2014,"BAJA CALIFORNIA","ENSENADA","ISLA DE CEDROS",6,6
"GASOLINA",2014,"BAJA CALIFORNIA","ENSENADA","SANTO TOMAS",3,3
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","CABO SAN LAZARO (ISLA MAGDALENA)",1,1
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD CONSTITUCION",8,8
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","CIUDAD CONSTITUCION",0,10
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","EJIDO SANTO DOMINGO, SIN NOMBRE",0,1
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CORRALITO",1,1
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL CORRALITO",0,1
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL PORVENIR",1,1
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","EL VOLCAN (ISLA MAGDALENA)",13,13
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA PURISIMA",0,2
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","LA VIRGENCITA (ISLA MAGDALENA)",1,1
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","LAS BARRANCAS",0,1
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","LAS BARRANCAS",24,24
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ADOLFO LOPEZ MATEOS",0,12
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ADOLFO LOPEZ MATEOS",31,31
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO ALCATRAZ (ISLA SANTA MARGARITA)",0,8
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO MAGDALENA (BAHIA MAGDALENA)",0,7
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO MAGDALENA (BAHIA MAGDALENA)",10,10
"GASOLINA",2014,"BAJA CALIFORNIA SUR","COMONDU","PUERTO SAN CARLOS",35,35
